scenery;sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;3;resource_vis_START>assignment_try_START>assignment_vis_START;175;633822;360858.17;344;175;175;1.39;0.55;1.5;1.5;2
2;3;resource_vis_START>assignment_try_START>assignment_sub_START;236;633500;219188.43;467;236;236;1.43;0.52;1.5;1.5;2
2;3;resource_vis_START>assignment_try_START>assignment_vis_END;170;633822;518317.71;340;170;170;1.38;0.52;1.5;1.5;2
2;3;resource_vis_START>assignment_try_START>assignment_sub_END;183;633822;516124.69;529;183;183;1.39;0.51;1.5;1.5;2
2;3;resource_vis_START>forum_vis_END>assignment_vis_END;192;632738;490062.83;384;192;192;1.45;0.5;1.5;1.5;2
2;3;resource_vis_START>forum_vis_END>assignment_sub_END;199;632743;489258.79;391;199;199;1.43;0.51;1.5;1.5;2
2;3;assignment_vis_START>resource_vis_START>assignment_vis_END;222;633832;508287.62;444;222;222;1.4;0.52;1.5;1.5;2
2;3;assignment_vis_START>resource_vis_START>assignment_sub_END;232;633832;507728.23;454;232;232;1.4;0.52;1.5;1.5;2
2;3;assignment_vis_START>resource_vis_START>assignment_vis_START;193;633747;364739.15;193;193;193;1.39;0.53;1.5;1.5;2
2;3;assignment_vis_START>assignment_vis_END>assignment_try_END;426;633832;522784.31;2080;426;426;1.36;0.53;1.5;1.5;2
2;3;assignment_vis_START>assignment_vis_END>assignment_sub_END;568;633907;515408.94;4401;568;568;1.38;0.51;1.5;1.5;2
2;3;assignment_vis_START>assignment_vis_END>resource_vis_END;223;633580;530536.49;848;223;223;1.41;0.51;1.5;1.5;2
2;3;assignment_vis_START>assignment_vis_END>assignment_vis_END;313;633580;526057.04;1414;313;313;1.4;0.5;1.5;1.5;2
2;3;assignment_vis_START>assignment_try_END>assignment_sub_END;457;633907;524217.75;2152;457;457;1.37;0.54;1.5;1.5;2
2;3;assignment_vis_START>assignment_try_END>assignment_vis_END;204;633655;529699.54;794;204;204;1.38;0.5;1.5;1.5;2
2;3;assignment_vis_START>assignment_vis_START>assignment_try_START;180;633789;335670.56;180;180;180;1.37;0.54;1.5;1.5;2
2;3;assignment_vis_START>assignment_vis_START>assignment_sub_START;202;633500;214971.08;202;202;202;1.33;0.56;1.5;1.5;2
2;3;assignment_vis_START>assignment_vis_START>assignment_vis_END;219;633822;525846.35;772;219;219;1.35;0.53;1.5;1.5;2
2;3;assignment_vis_START>assignment_vis_START>assignment_sub_END;239;633822;524702.75;807;239;239;1.37;0.53;1.5;1.5;2
2;3;assignment_vis_START>assignment_try_START>assignment_vis_START;292;633822;351965.75;977;292;292;1.34;0.55;1.5;1.5;2
2;3;assignment_vis_START>assignment_try_START>assignment_sub_START;350;633500;212032.0;581;350;350;1.35;0.55;1.5;1.5;2
2;3;assignment_vis_START>assignment_try_START>assignment_vis_END;284;633822;522436.52;902;284;284;1.34;0.52;1.5;1.5;2
2;3;assignment_vis_START>assignment_try_START>resource_vis_END;171;633747;529277.45;342;171;171;1.33;0.49;1.5;1.5;2
2;3;assignment_vis_START>assignment_try_START>assignment_sub_END;305;633822;522238.34;1285;305;305;1.35;0.52;1.5;1.5;2
2;3;assignment_vis_START>resource_vis_END>assignment_vis_END;328;633832;527678.03;1506;328;328;1.39;0.5;1.5;1.5;2
2;3;assignment_vis_START>resource_vis_END>assignment_try_END;237;633832;531213.55;922;237;237;1.39;0.51;1.5;1.5;2
2;3;assignment_vis_START>resource_vis_END>assignment_sub_END;355;633832;525974.36;1915;355;355;1.39;0.5;1.5;1.5;2
2;3;assignment_vis_START>forum_vis_END>assignment_vis_END;172;632823;512125.1;344;172;172;1.41;0.53;1.5;1.5;2
2;3;assignment_vis_START>forum_vis_END>assignment_sub_END;180;632823;510903.74;352;180;180;1.39;0.53;1.5;1.5;2
2;3;assignment_vis_END>assignment_try_END>assignment_sub_END;1635;633852;251751.68;9352;1635;1635;1.37;0.52;1.5;1.5;2
2;3;assignment_vis_END>assignment_try_END>resource_vis_END;287;633852;260849.73;1048;287;287;1.37;0.52;1.5;1.5;2
2;3;assignment_vis_END>assignment_try_END>assignment_vis_END;659;633852;268303.54;4338;659;659;1.38;0.5;1.5;1.5;2
2;3;assignment_vis_END>assignment_try_END>assignment_try_END;187;632845;237086.2;732;187;187;1.35;0.54;1.5;1.5;2
