id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
167616270,8463,1574820757,core,viewed,course,,,2060,,N;,r,
167248183,8691,1574702569,core,viewed,course,,,2060,,N;,r,
168884259,8850,1575498917,core,viewed,course,,,2060,,N;,r,
166226873,9530,1574198105,core,viewed,course,,,2060,,N;,r,
168566180,9760,1575380721,core,viewed,course,,,2060,,N;,r,
169697620,9875,1576014793,core,viewed,course,,,2060,,N;,r,
166222308,9924,1574196716,core,viewed,course,,,2060,,N;,r,
169739735,9929,1576022648,core,viewed,course,,,2060,,N;,r,
166296523,10174,1574209680,core,viewed,course,,,2060,,N;,r,
164931290,10277,1573602546,core,viewed,course,,,2060,,N;,r,
168657134,10444,1575409604,core,viewed,course,,,2060,,N;,r,
165965461,10803,1574111450,core,viewed,course,,,2060,,N;,r,
164997174,10954,1573613902,core,viewed,course,,,2060,,N;,r,
167414700,10995,1574771695,core,viewed,course,,,2060,,N;,r,
169445955,11315,1575910114,core,viewed,course,,,2060,,N;,r,
165756876,11456,1573991589,core,viewed,course,,,2060,,N;,r,
166318191,12536,1574214188,core,viewed,course,,,2060,,N;,r,
169685561,13014,1576012599,core,viewed,course,,,2060,,N;,r,
168949683,13338,1575513279,core,viewed,course,,,2060,,N;,r,
166236437,13434,1574200356,core,viewed,course,,,2060,,N;,r,
166941776,13458,1574461894,core,viewed,course,,,2060,,N;,r,
169769477,13545,1576028898,core,viewed,course,,,2060,,N;,r,
164944115,13587,1573604484,core,viewed,course,,,2060,,N;,r,
167663756,13749,1574862120,core,viewed,course,,,2060,,N;,r,
168389168,13845,1575293956,core,viewed,course,,,2060,,N;,r,
166355974,13899,1574238015,core,viewed,course,,,2060,,N;,r,
168971338,13909,1575543481,core,viewed,course,,,2060,,N;,r,
168632392,13984,1575401707,core,viewed,course,,,2060,,N;,r,
166834989,14059,1574419028,core,viewed,course,,,2060,,N;,r,
166301785,14255,1574210681,core,viewed,course,,,2060,,N;,r,
