id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
166107334,87488,1574166812,mod_quiz,submitted,attempt,2378454.0,quiz_attempts,2060,87488.0,"a:2:{s:11:""submitterid"";s:5:""87488"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166107345,137154,1574166814,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166107347,135006,1574166817,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166107406,87488,1574166834,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166107607,137154,1574166897,mod_quiz,submitted,attempt,2378396.0,quiz_attempts,2060,137154.0,"a:2:{s:11:""submitterid"";s:6:""137154"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166107638,137154,1574166908,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166108070,88880,1574167030,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166108154,15620,1574167051,mod_quiz,submitted,attempt,2378500.0,quiz_attempts,2060,15620.0,"a:2:{s:11:""submitterid"";s:5:""15620"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166108169,15620,1574167055,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166108218,15620,1574167069,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166108297,88880,1574167091,mod_quiz,submitted,attempt,2378423.0,quiz_attempts,2060,88880.0,"a:2:{s:11:""submitterid"";s:5:""88880"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166108873,88430,1574167280,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166109221,138344,1574167417,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166109476,123345,1574167493,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166109503,123345,1574167501,mod_quiz,started,attempt,2378523.0,quiz_attempts,2060,123345.0,N;,c,12842.0
166109605,137052,1574167530,mod_quiz,submitted,attempt,2378480.0,quiz_attempts,2060,137052.0,"a:2:{s:11:""submitterid"";s:6:""137052"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166110288,121972,1574167762,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166110423,92221,1574167807,mod_quiz,submitted,attempt,2378457.0,quiz_attempts,2060,92221.0,"a:2:{s:11:""submitterid"";s:5:""92221"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166110456,92221,1574167819,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166110794,123644,1574167895,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166110966,121972,1574167934,mod_quiz,started,attempt,2378539.0,quiz_attempts,2060,121972.0,N;,c,12842.0
166110975,118543,1574167936,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
