sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;assignment_vis_END>assignment_vis_END>assignment_try_END;573;633768;263933.68935427576;4806;573;573;1.39 (+- 0.52);1.5;1.5;2
3;assignment_vis_END>assignment_vis_END>resource_vis_END;222;633768;332265.1126126126;852;222;222;1.30 (+- 0.50);1.5;1.5;2
3;assignment_vis_END>assignment_vis_END>assignment_vis_END;388;633768;303419.2268041237;2902;388;388;1.39 (+- 0.50);1.5;1.5;2
3;assignment_vis_END>forum_vis_END>assignment_vis_END;302;632929;344892.9735099338;1356;302;302;1.38 (+- 0.50);1.5;1.5;2
3;assignment_vis_END>forum_vis_END>assignment_sub_END;307;632929;341431.3941368078;1367;307;307;1.38 (+- 0.50);1.5;1.5;2
3;assignment_vis_END>forum_vis_END>assignment_try_END;203;632738;326375.68472906406;808;203;203;1.41 (+- 0.50);1.5;1.5;2
3;assignment_try_END>resource_vis_END>assignment_vis_END;280;633852;276146.5071428571;1120;280;280;1.36 (+- 0.52);1.5;1.5;2
3;assignment_try_END>resource_vis_END>assignment_sub_END;323;633852;265765.7151702786;1206;323;323;1.36 (+- 0.53);1.5;1.5;2
3;assignment_try_END>assignment_vis_END>assignment_sub_END;712;633927;270188.17837078654;5431;712;712;1.38 (+- 0.51);1.5;1.5;2
3;assignment_try_END>assignment_vis_END>assignment_vis_END;194;633768;296797.9742268041;776;194;194;1.36 (+- 0.51);1.5;1.5;2
3;assignment_try_END>assignment_vis_END>assignment_try_END;189;632845;237601.8201058201;756;189;189;1.35 (+- 0.55);1.5;1.5;2
3;assignment_try_END>assignment_try_END>assignment_sub_END;189;632845;237601.8201058201;756;189;189;1.35 (+- 0.55);1.5;1.5;2
3;resource_vis_END>assignment_vis_END>assignment_sub_END;1265;633852;250588.4205533597;11839;1265;1265;1.40 (+- 0.51);1.5;1.5;2
3;resource_vis_END>assignment_vis_END>assignment_try_END;1059;633843;230783.0566572238;7112;1059;1059;1.41 (+- 0.51);1.5;1.5;2
3;resource_vis_END>assignment_vis_END>resource_vis_END;258;633768;295466.20930232556;988;258;258;1.38 (+- 0.52);1.5;1.5;2
3;resource_vis_END>assignment_vis_END>assignment_vis_END;545;633843;261974.96880733944;4380;545;545;1.41 (+- 0.49);1.5;1.5;2
3;resource_vis_END>assignment_try_END>assignment_vis_END;408;633843;234427.52450980392;2334;408;408;1.42 (+- 0.49);1.5;1.5;2
3;resource_vis_END>assignment_try_END>assignment_sub_END;1069;633843;229513.2871842844;6944;1069;1069;1.41 (+- 0.51);1.5;1.5;2
3;resource_vis_END>resource_vis_END>assignment_vis_END;313;633768;293607.9552715655;1822;313;313;1.41 (+- 0.51);1.5;1.5;2
3;resource_vis_END>resource_vis_END>assignment_sub_END;335;633768;290617.2865671642;2054;335;335;1.41 (+- 0.51);1.5;1.5;2
3;resource_vis_END>resource_vis_END>assignment_try_END;195;633580;273551.24102564104;768;195;195;1.42 (+- 0.52);1.5;1.5;2
3;resource_vis_END>forum_vis_END>assignment_vis_END;344;633086;311546.3226744186;1918;344;344;1.43 (+- 0.48);1.5;1.5;2
3;resource_vis_END>forum_vis_END>assignment_sub_END;348;633086;308978.6235632184;1934;348;348;1.43 (+- 0.49);1.5;1.5;2
3;resource_vis_END>forum_vis_END>assignment_try_END;269;632322;292967.8178438662;1072;269;269;1.47 (+- 0.46);1.5;1.5;2
3;resource_vis_END>forum_vis_END>resource_vis_END;179;632165;302621.31284916203;704;179;179;1.46 (+- 0.50);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_sub_START;167;633500;213610.16766467065;334;167;167;1.30 (+- 0.57);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_vis_END;193;633822;531652.1191709845;772;193;193;1.35 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_sub_END;193;633822;531652.1191709845;772;193;193;1.35 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>assignment_vis_END;174;633822;539673.5172413794;696;174;174;1.33 (+- 0.52);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>assignment_sub_END;310;633822;521599.7774193548;2113;310;310;1.35 (+- 0.52);1.5;1.5;2
3;assignment_try_START>resource_vis_END>assignment_vis_END;182;633747;535744.1923076923;728;182;182;1.31 (+- 0.52);1.5;1.5;2
3;assignment_try_START>resource_vis_END>assignment_sub_END;192;633747;531430.5416666666;748;192;192;1.31 (+- 0.51);1.5;1.5;2
3;forum_vis_START>resource_vis_START>assignment_vis_END;179;632750;483880.9776536313;358;179;179;1.46 (+- 0.49);1.5;1.5;2
