sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
4;resource_vis>assignment_vis>assignment_try>resource_vis;323;633768;392219.6408668731;1988;323;323;1.34 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_try>assignment_vis;773;633918;321389.86287192756;7446;773;773;1.40 (+- 0.50);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_try>assignment_try;258;633822;382967.9418604651;1720;258;258;1.37 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_try>forum_vis;177;633575;425156.6440677966;700;177;177;1.34 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_sub>assignment_vis;202;633747;367998.0891089109;1496;202;202;1.34 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_sub>assignment_try;189;633747;366839.41798941797;1444;189;189;1.34 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_sub>assignment_sub;202;633747;367998.0891089109;1496;202;202;1.34 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>forum_vis;182;632743;438432.3131868132;726;182;182;1.40 (+- 0.50);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>assignment_vis;341;633761;404105.2991202346;4174;341;341;1.41 (+- 0.50);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>assignment_sub;346;633761;400716.3959537572;4012;346;346;1.41 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>resource_vis;196;632929;434934.306122449;776;196;196;1.40 (+- 0.50);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>assignment_try;236;633570;411929.6271186441;938;236;236;1.41 (+- 0.52);1.5;1.5;2
4;resource_vis>resource_vis>assignment_vis>assignment_try;467;633747;382251.4903640257;3748;467;467;1.41 (+- 0.52);1.5;1.5;2
4;resource_vis>resource_vis>assignment_vis>assignment_sub;646;633768;370543.33436532505;9258;646;646;1.41 (+- 0.51);1.5;1.5;2
4;resource_vis>resource_vis>assignment_vis>resource_vis;205;633768;439358.68780487805;1134;205;205;1.37 (+- 0.55);1.5;1.5;2
4;resource_vis>resource_vis>assignment_vis>assignment_vis;317;633768;404905.93375394325;2344;317;317;1.41 (+- 0.50);1.5;1.5;2
4;resource_vis>resource_vis>assignment_try>assignment_sub;475;633747;378992.5578947368;3774;475;475;1.41 (+- 0.52);1.5;1.5;2
4;resource_vis>resource_vis>assignment_try>assignment_vis;208;633580;390875.3028846154;828;208;208;1.39 (+- 0.51);1.5;1.5;2
4;resource_vis>resource_vis>resource_vis>assignment_vis;239;633768;435414.37238493725;1244;239;239;1.40 (+- 0.52);1.5;1.5;2
4;resource_vis>resource_vis>resource_vis>assignment_sub;250;633768;431661.128;1612;250;250;1.40 (+- 0.53);1.5;1.5;2
4;resource_vis>resource_vis>forum_vis>assignment_vis;276;633123;401980.10869565216;2140;276;276;1.45 (+- 0.49);1.5;1.5;2
4;resource_vis>resource_vis>forum_vis>assignment_sub;280;633123;397496.1;2149;280;280;1.44 (+- 0.50);1.5;1.5;2
4;resource_vis>resource_vis>forum_vis>assignment_try;201;632108;405464.10945273633;1492;201;201;1.47 (+- 0.49);1.5;1.5;2
4;resource_vis>assignment_try>assignment_sub>assignment_vis;189;633747;363523.14814814815;1444;189;189;1.34 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_try>assignment_sub>assignment_try;176;633747;361948.35795454547;1392;176;176;1.34 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_try>assignment_sub>assignment_sub;189;633747;363523.14814814815;1444;189;189;1.34 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_try>resource_vis>assignment_vis;298;633768;401812.8489932886;1910;298;298;1.34 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_try>resource_vis>assignment_sub;326;633768;390331.65030674846;1995;326;326;1.34 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_try>assignment_vis>assignment_sub;780;633918;319441.3730769231;7254;780;780;1.40 (+- 0.50);1.5;1.5;2
4;resource_vis>assignment_try>assignment_vis>assignment_try;263;633822;377526.3269961977;1738;263;263;1.37 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_try>assignment_vis>assignment_vis;264;633843;411203.82954545453;1778;264;264;1.37 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_try>assignment_vis>resource_vis;196;633768;453584.5969387755;1504;196;196;1.34 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_try>assignment_try>assignment_sub;263;633822;377526.3269961977;1738;263;263;1.37 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_try>forum_vis>assignment_vis;173;633575;431174.0520231214;692;173;173;1.36 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_try>forum_vis>assignment_sub;178;633575;422778.893258427;701;178;178;1.35 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_sub>assignment_vis>assignment_try;198;633747;358255.6767676768;1470;198;198;1.35 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_sub>assignment_vis>assignment_sub;211;633747;359893.78199052135;1522;211;211;1.34 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_sub>assignment_try>assignment_sub;198;633747;358255.6767676768;1470;198;198;1.35 (+- 0.54);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>assignment_vis;377;632929;377426.599469496;4436;377;377;1.44 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>assignment_try;303;632315;378386.7194719472;1896;303;303;1.44 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>resource_vis;170;632059;435571.41764705884;340;170;170;1.43 (+- 0.51);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>forum_vis;222;632743;405343.0945945946;1572;222;222;1.46 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>assignment_sub;386;632929;372868.0829015544;4439;386;386;1.44 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>assignment_try;524;633918;356683.43129770993;6632;524;524;1.44 (+- 0.48);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>resource_vis;217;632823;408712.5069124424;842;217;217;1.42 (+- 0.51);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>assignment_vis;347;633918;398151.08069164265;4572;347;347;1.44 (+- 0.47);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>forum_vis;209;632743;419528.1387559809;830;209;209;1.44 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>assignment_sub;614;633918;355828.4104234528;11437;614;614;1.43 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>assignment_try>assignment_vis;238;633918;392114.0210084034;950;238;238;1.43 (+- 0.44);1.5;1.5;2
4;resource_vis>forum_vis>assignment_try>assignment_sub;527;633918;354665.6110056926;6457;527;527;1.44 (+- 0.48);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>forum_vis;220;632743;402806.35;1628;220;220;1.45 (+- 0.48);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>assignment_vis;342;632823;387429.22807017545;5432;342;342;1.45 (+- 0.48);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>assignment_sub;345;632823;386550.0463768116;5260;345;345;1.44 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>resource_vis;183;632823;426715.3333333333;726;183;183;1.45 (+- 0.51);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>assignment_try;288;632823;385227.53472222225;3270;288;288;1.47 (+- 0.48);1.5;1.5;2
4;resource_vis>forum_vis>forum_participation>forum_vis;188;632823;381652.75;1436;188;188;1.46 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_vis>forum_participation>assignment_vis;200;633086;385508.41;1480;200;200;1.47 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_vis>forum_participation>assignment_sub;200;633086;385508.41;1480;200;200;1.47 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_vis>forum_participation>assignment_try;181;633086;388323.1215469613;1408;181;181;1.47 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_participation>forum_vis>assignment_vis;188;632823;381652.75;1436;188;188;1.46 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_participation>forum_vis>assignment_sub;188;632823;381652.75;1436;188;188;1.46 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_participation>forum_vis>assignment_try;171;632823;382551.8187134503;1368;171;171;1.47 (+- 0.47);1.5;1.5;2
4;resource_vis>forum_participation>assignment_vis>assignment_sub;200;633086;385508.41;1480;200;200;1.47 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_participation>assignment_vis>assignment_try;181;633086;388323.1215469613;1408;181;181;1.47 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_participation>assignment_try>assignment_sub;181;633086;388323.1215469613;1408;181;181;1.47 (+- 0.46);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>assignment_try;742;633832;328109.83557951485;5790;742;742;1.40 (+- 0.52);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>assignment_sub;998;633852;318268.12124248495;12853;998;998;1.40 (+- 0.51);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>assignment_vis;503;633768;359710.18687872763;5258;503;503;1.41 (+- 0.51);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>resource_vis;305;633768;402565.9016393443;1524;305;305;1.35 (+- 0.53);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>forum_vis;190;633309;413434.84210526315;756;190;190;1.42 (+- 0.53);1.5;1.5;2
