sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;assignment_try>assignment_vis>assignment_vis;262;633918;410595.03435114503;860;262;262;1.33 (+- 0.52);1.5;1.5;2
3;assignment_try>assignment_vis>resource_vis;242;633768;406524.85537190083;484;242;242;1.32 (+- 0.50);1.5;1.5;2
3;assignment_try>forum_vis>assignment_sub;214;633761;396300.21495327103;214;214;214;1.34 (+- 0.53);1.5;1.5;2
3;forum_vis>resource_vis>assignment_try;191;633077;387688.7329842932;382;191;191;1.42 (+- 0.48);1.5;1.5;2
3;forum_vis>resource_vis>resource_vis;353;633726;381983.76203966007;5844;353;353;1.42 (+- 0.50);1.5;1.5;2
3;forum_vis>resource_vis>assignment_vis;265;633077;390376.22641509434;1664;265;265;1.43 (+- 0.52);1.5;1.5;2
3;forum_vis>resource_vis>forum_vis;290;633077;387640.4379310345;5294;290;290;1.46 (+- 0.48);1.5;1.5;2
3;forum_vis>resource_vis>assignment_sub;517;633726;345973.5918762089;10741;517;517;1.42 (+- 0.50);1.5;1.5;2
3;forum_vis>assignment_try>assignment_sub;294;633918;361591.6666666667;1267;294;294;1.41 (+- 0.48);1.5;1.5;2
3;forum_vis>assignment_vis>forum_vis;227;633536;409097.2202643172;1546;227;227;1.41 (+- 0.49);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_sub;402;633918;380141.8134328358;5668;402;402;1.38 (+- 0.51);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_vis;230;633918;417347.5565217391;1180;230;230;1.35 (+- 0.54);1.5;1.5;2
3;forum_vis>assignment_vis>resource_vis;237;632814;393701.417721519;1194;237;237;1.40 (+- 0.52);1.5;1.5;2
3;forum_vis>forum_vis>forum_vis;478;633732;358969.5230125523;30004;478;478;1.44 (+- 0.47);1.5;1.5;2
3;forum_vis>forum_vis>forum_participation;222;633732;362671.2162162162;6298;222;222;1.45 (+- 0.46);1.5;1.5;2
3;forum_vis>forum_vis>assignment_sub;575;633732;348796.30782608694;23410;575;575;1.43 (+- 0.48);1.5;1.5;2
3;forum_vis>forum_vis>resource_vis;380;633726;365316.1394736842;8962;380;380;1.43 (+- 0.49);1.5;1.5;2
3;forum_vis>forum_vis>assignment_try;211;633077;378631.44549763034;1098;211;211;1.44 (+- 0.45);1.5;1.5;2
3;forum_vis>forum_vis>assignment_vis;294;633732;391360.3911564626;4470;294;294;1.42 (+- 0.49);1.5;1.5;2
3;forum_vis>forum_participation>forum_vis;214;633469;356814.0794392523;4768;214;214;1.45 (+- 0.46);1.5;1.5;2
3;forum_vis>forum_participation>assignment_sub;227;633732;359958.37885462557;4338;227;227;1.46 (+- 0.45);1.5;1.5;2
3;forum_participation>forum_vis>forum_vis;187;632689;362451.128342246;2476;187;187;1.45 (+- 0.45);1.5;1.5;2
3;forum_participation>forum_vis>assignment_sub;214;633469;356814.0794392523;3146;214;214;1.45 (+- 0.46);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>assignment_sub;447;633768;399368.3199105145;2567;447;447;1.39 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>resource_vis;262;633768;414031.98854961834;864;262;262;1.36 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>assignment_vis;228;633768;446594.16228070174;456;228;228;1.38 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>forum_vis;178;633104;435303.1629213483;356;178;178;1.43 (+- 0.50);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>assignment_vis;250;633822;461913.264;500;250;250;1.37 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>resource_vis;248;633747;462475.66532258067;496;248;248;1.38 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>assignment_sub;447;633934;408553.4116331096;2365;447;447;1.38 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_try>assignment_sub;261;633822;403852.8735632184;261;261;261;1.37 (+- 0.55);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>forum_vis;231;632920;428491.77056277054;1188;231;231;1.43 (+- 0.48);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>assignment_sub;303;633761;407963.1881188119;1813;303;303;1.41 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>assignment_vis;167;633761;455353.26946107787;334;167;167;1.38 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>resource_vis;173;632920;447745.5028901734;346;173;173;1.40 (+- 0.51);1.5;1.5;2
4;resource_vis>resource_vis>assignment_try>resource_vis;170;633768;398259.5176470588;340;170;170;1.35 (+- 0.50);1.5;1.5;2
4;resource_vis>resource_vis>assignment_try>assignment_sub;397;633843;360963.3652392947;978;397;397;1.39 (+- 0.49);1.5;1.5;2
4;resource_vis>resource_vis>resource_vis>assignment_sub;689;633859;347883.47750362847;7072;689;689;1.38 (+- 0.51);1.5;1.5;2
4;resource_vis>resource_vis>resource_vis>assignment_vis;307;633859;406235.3973941368;1740;307;307;1.38 (+- 0.54);1.5;1.5;2
4;resource_vis>resource_vis>resource_vis>assignment_try;237;633768;384617.23206751054;474;237;237;1.36 (+- 0.52);1.5;1.5;2
4;resource_vis>resource_vis>resource_vis>forum_vis;313;633104;385163.34185303515;2684;313;313;1.40 (+- 0.50);1.5;1.5;2
4;resource_vis>resource_vis>resource_vis>resource_vis;422;633768;381895.3507109005;4732;422;422;1.37 (+- 0.53);1.5;1.5;2
4;resource_vis>resource_vis>assignment_vis>assignment_sub;520;633934;390605.4576923077;3749;520;520;1.40 (+- 0.51);1.5;1.5;2
4;resource_vis>resource_vis>assignment_vis>forum_vis;210;633104;430303.86666666664;756;210;210;1.40 (+- 0.51);1.5;1.5;2
4;resource_vis>resource_vis>assignment_vis>assignment_vis;264;633934;443205.8522727273;884;264;264;1.37 (+- 0.53);1.5;1.5;2
4;resource_vis>resource_vis>assignment_vis>resource_vis;280;633768;424912.8892857143;1254;280;280;1.37 (+- 0.53);1.5;1.5;2
4;resource_vis>resource_vis>forum_vis>forum_vis;356;633077;388123.2752808989;6090;356;356;1.46 (+- 0.47);1.5;1.5;2
4;resource_vis>resource_vis>forum_vis>assignment_sub;441;633447;374741.79365079367;6023;441;441;1.44 (+- 0.49);1.5;1.5;2
4;resource_vis>resource_vis>forum_vis>resource_vis;259;632729;395321.9382239382;1586;259;259;1.46 (+- 0.48);1.5;1.5;2
4;resource_vis>resource_vis>forum_vis>assignment_vis;230;633077;428462.4043478261;812;230;230;1.42 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_sub>assignment_vis>assignment_sub;185;633747;377395.82702702703;185;185;185;1.35 (+- 0.55);1.5;1.5;2
4;resource_vis>assignment_try>resource_vis>assignment_sub;289;633768;380430.12110726646;459;289;289;1.34 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_try>assignment_vis>assignment_sub;287;633918;376499.47386759584;455;287;287;1.37 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_try>assignment_vis>assignment_vis;168;633918;439158.5119047619;336;168;168;1.34 (+- 0.52);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>resource_vis;263;632814;404594.6844106464;1578;263;263;1.42 (+- 0.51);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>assignment_vis;195;632920;414673.56923076924;390;195;195;1.44 (+- 0.53);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>forum_vis;222;632734;405342.2927927928;1150;222;222;1.46 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>assignment_sub;386;632920;372859.5440414508;3962;386;386;1.44 (+- 0.49);1.5;1.5;2
4;resource_vis>forum_vis>assignment_try>assignment_sub;233;633918;385105.0815450644;400;233;233;1.43 (+- 0.45);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>forum_vis;188;632734;421914.35638297873;376;188;188;1.44 (+- 0.48);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>assignment_sub;325;633918;408233.2184615385;2084;325;325;1.42 (+- 0.50);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>assignment_vis;186;633918;440319.67204301077;372;186;186;1.37 (+- 0.54);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>resource_vis;185;632814;423719.5351351351;370;185;185;1.42 (+- 0.52);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>forum_vis;404;633077;377233.2896039604;11776;404;404;1.45 (+- 0.47);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>forum_participation;196;633077;387306.0051020408;1796;196;196;1.46 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>assignment_sub;477;633409;371050.10482180293;10221;477;477;1.44 (+- 0.48);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>resource_vis;280;632920;400300.6142857143;2466;280;280;1.44 (+- 0.48);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>assignment_try;167;633077;398611.7005988024;334;167;167;1.44 (+- 0.45);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>assignment_vis;236;633077;419317.76271186443;1216;236;236;1.44 (+- 0.50);1.5;1.5;2
4;resource_vis>forum_vis>forum_participation>forum_vis;188;632814;381652.5106382979;1080;188;188;1.46 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_vis>forum_participation>assignment_sub;200;633077;385508.14;1286;200;200;1.47 (+- 0.46);1.5;1.5;2
4;resource_vis>forum_participation>forum_vis>assignment_sub;188;632814;381652.5106382979;728;188;188;1.46 (+- 0.46);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_try>assignment_sub;304;633768;357856.5361842105;478;304;304;1.41 (+- 0.50);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>assignment_vis;229;633768;425950.1528384279;458;229;229;1.35 (+- 0.52);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>resource_vis;219;633768;431668.1095890411;438;219;219;1.37 (+- 0.52);1.5;1.5;2
4;assignment_vis>resource_vis>assignment_vis>assignment_sub;416;633832;379588.0721153846;1573;416;416;1.37 (+- 0.53);1.5;1.5;2
4;assignment_vis>resource_vis>resource_vis>assignment_try;174;633768;385678.6896551724;348;174;174;1.39 (+- 0.50);1.5;1.5;2
4;assignment_vis>resource_vis>resource_vis>resource_vis;306;633768;380634.5751633987;1016;306;306;1.30 (+- 0.55);1.5;1.5;2
4;assignment_vis>resource_vis>resource_vis>assignment_sub;508;633832;354229.89763779525;2903;508;508;1.36 (+- 0.52);1.5;1.5;2
4;assignment_vis>resource_vis>resource_vis>assignment_vis;253;633832;423314.52173913043;506;253;253;1.35 (+- 0.53);1.5;1.5;2
4;assignment_vis>resource_vis>resource_vis>forum_vis;202;632734;405654.6881188119;404;202;202;1.39 (+- 0.52);1.5;1.5;2
