sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;assignment_vis>forum_vis>resource_vis;284;690598;480335.0669014084;3252;16;284;284;1.22 (+- 0.57);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_sub;562;690598;463499.48754448397;40776;187;562;562;1.24 (+- 0.53);1.5;1.5;2
3;assignment_vis>forum_vis>forum_participation;235;690266;482517.47659574467;6756;36;235;235;1.29 (+- 0.50);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_try;247;690554;505149.6072874494;1666;8;247;247;1.31 (+- 0.51);1.5;1.5;2
3;assignment_vis>forum_participation>forum_vis;210;690266;479552.17142857146;5022;28;210;210;1.30 (+- 0.50);1.5;1.5;2
3;assignment_vis>forum_participation>assignment_sub;235;690266;482517.47659574467;4535;24;235;235;1.29 (+- 0.50);1.5;1.5;2
3;assignment_try>assignment_sub>assignment_vis;566;690554;511204.88692579506;13159;53;566;566;1.24 (+- 0.53);1.5;1.5;2
3;assignment_try>assignment_sub>assignment_try;269;690451;539049.2639405205;2080;10;269;269;1.28 (+- 0.51);1.5;1.0;2
3;assignment_try>assignment_sub>assignment_sub;657;690554;498399.704718417;13420;53;657;657;1.25 (+- 0.54);1.5;1.5;2
3;assignment_try>assignment_sub>resource_vis;220;690230;542317.2545454545;840;4;220;220;1.26 (+- 0.54);1.5;1.5;2
3;assignment_try>assignment_vis>assignment_try;280;690451;544060.1428571428;3222;16;280;280;1.30 (+- 0.51);1.5;1.5;2
3;assignment_try>assignment_vis>assignment_sub;757;690554;476526.536327609;25293;100;757;757;1.22 (+- 0.56);1.5;1.5;2
3;assignment_try>assignment_vis>assignment_vis;570;690497;506473.1596491228;21070;87;570;570;1.24 (+- 0.55);1.5;1.5;2
3;assignment_try>assignment_vis>forum_vis;192;690424;532426.2447916666;384;2;192;192;1.27 (+- 0.53);1.5;1.5;2
3;assignment_try>assignment_vis>resource_vis;334;690451;511528.5628742515;4445;21;334;334;1.22 (+- 0.55);1.5;1.5;2
3;assignment_try>assignment_try>assignment_sub;348;690451;535560.9252873564;3248;15;348;348;1.27 (+- 0.52);1.5;1.5;2
3;assignment_try>assignment_try>assignment_vis;214;690384;552796.1542056075;754;4;214;214;1.31 (+- 0.51);1.5;1.5;2
3;assignment_try>resource_vis>assignment_sub;512;690540;462288.2734375;9179;40;512;512;1.20 (+- 0.58);1.0;1.5;2
3;assignment_try>resource_vis>assignment_vis;358;690540;495048.125698324;5828;27;358;358;1.22 (+- 0.55);1.5;1.5;2
3;assignment_try>resource_vis>resource_vis;260;690407;493666.9346153846;1588;8;260;260;1.23 (+- 0.56);1.5;1.5;2
3;assignment_try>forum_vis>assignment_vis;186;690554;538092.0967741936;372;2;186;186;1.32 (+- 0.50);1.5;1.5;2
3;assignment_try>forum_vis>forum_vis;202;690554;519730.38118811883;734;4;202;202;1.33 (+- 0.52);1.5;1.5;2
3;assignment_try>forum_vis>assignment_sub;250;690554;512492.128;1189;6;250;250;1.29 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_sub;743;690540;466766.54239569313;24727;99;743;743;1.26 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_vis;648;690540;480181.0401234568;25864;106;648;648;1.26 (+- 0.54);1.5;1.5;2
3;resource_vis>assignment_sub>forum_vis;185;690203;531543.2;700;4;185;185;1.29 (+- 0.51);1.5;1.5;2
3;resource_vis>assignment_sub>resource_vis;324;690249;541669.774691358;5148;24;324;324;1.23 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_try;292;690470;507768.26712328766;3056;14;292;292;1.31 (+- 0.52);1.5;1.5;2
3;resource_vis>resource_vis>forum_vis;213;690482;487311.6478873239;1106;6;213;213;1.24 (+- 0.56);1.5;1.5;2
3;resource_vis>resource_vis>assignment_vis;453;690598;489737.77262693155;14038;63;453;453;1.21 (+- 0.55);1.0;1.5;2
3;resource_vis>resource_vis>resource_vis;348;690584;470012.3362068966;4594;21;348;348;1.16 (+- 0.57);1.0;1.5;2
3;resource_vis>resource_vis>assignment_sub;633;690598;454073.87361769355;21489;92;633;633;1.18 (+- 0.57);1.0;1.5;2
3;resource_vis>resource_vis>assignment_try;237;690448;504362.9957805907;1206;6;237;237;1.22 (+- 0.56);1.5;1.5;2
3;resource_vis>forum_vis>forum_vis;280;690598;486987.32857142854;5140;26;280;280;1.26 (+- 0.54);1.5;1.5;2
3;resource_vis>forum_vis>assignment_vis;261;690598;498574.77394636016;2782;14;261;261;1.28 (+- 0.53);1.5;1.5;2
3;resource_vis>forum_vis>resource_vis;185;690598;504783.7027027027;370;2;185;185;1.25 (+- 0.54);1.5;1.5;2
3;resource_vis>forum_vis>assignment_sub;347;690598;481571.1268011527;6723;33;347;347;1.24 (+- 0.54);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_vis;647;690598;482093.89335394127;40532;168;647;647;1.22 (+- 0.56);1.5;1.5;2
3;resource_vis>assignment_vis>resource_vis;419;690598;505603.8019093079;12263;55;419;419;1.22 (+- 0.54);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_sub;828;690598;444857.2041062802;46223;186;828;828;1.21 (+- 0.56);1.5;1.5;2
3;resource_vis>assignment_vis>forum_vis;244;690598;512117.91803278687;2680;14;244;244;1.28 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_try;344;690540;497503.66279069765;5772;26;344;344;1.27 (+- 0.56);1.5;1.5;2
3;resource_vis>assignment_try>assignment_sub;457;690540;466188.8533916849;8021;35;457;457;1.24 (+- 0.58);1.5;1.5;2
