sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;assignment_vis_START>assignment_vis_START>assignment_sub_START;787;690305;362079.80559085135;39758;168;787;787;1.14 (+- 0.61);1.0;1.5;2
3;assignment_vis_START>assignment_vis_START>resource_vis_START;272;690203;436630.9411764706;1429;7;272;272;1.12 (+- 0.59);1.0;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_vis_START;692;690584;460518.0086705202;47630;202;692;692;1.22 (+- 0.56);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>forum_vis_START;259;690438;504705.277992278;3639;20;259;259;1.26 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>forum_vis_END;236;690506;589815.3728813559;4582;24;236;236;1.28 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>resource_vis_END;401;690528;589310.8453865336;27315;122;401;401;1.22 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_try_END;1011;690598;571805.509396637;200456;657;1011;1011;1.22 (+- 0.53);1.0;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_vis_END;922;690598;573951.5976138829;195825;701;922;922;1.25 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_sub_END;1203;690598;569421.5852036575;267067;900;1203;1203;1.22 (+- 0.53);1.0;1.5;2
3;assignment_vis_START>assignment_vis_END>forum_vis_END;232;690598;581299.3793103448;3064;16;232;232;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>resource_vis_END;382;690598;576895.2513089005;24143;112;382;382;1.23 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_vis_END;758;690540;572956.0936675462;122204;402;758;758;1.25 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_sub_END;1011;690598;571805.509396637;190606;607;1011;1011;1.22 (+- 0.53);1.0;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_try_END;531;690319;575976.8738229756;70568;212;531;531;1.25 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>resource_vis_END;202;688962;575453.3613861386;1548;8;202;202;1.25 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_sub_END>assignment_vis_END;711;690554;575146.2348804501;110070;368;711;711;1.27 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_sub_END>assignment_try_END;530;690540;573418.4660377358;72144;220;530;530;1.26 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_sub_END>assignment_sub_END;711;690554;575146.2348804501;106028;346;711;711;1.27 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_sub_START;495;690305;363120.52323232323;12514;56;495;495;1.12 (+- 0.62);1.0;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_vis_START;554;690526;396073.7075812274;20869;93;554;554;1.15 (+- 0.60);1.0;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_try_START;362;690230;354915.2955801105;4448;20;362;362;1.15 (+- 0.62);1.0;1.5;2
3;assignment_vis_START>resource_vis_START>forum_vis_START;169;690526;473720.97633136093;169;1;169;169;1.22 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_vis_END;413;690526;578926.4915254237;22865;107;413;413;1.22 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_sub_END;414;690526;578693.0845410628;19185;89;414;414;1.22 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_try_END;321;690526;583845.7757009346;11240;54;321;321;1.21 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>resource_vis_END;228;690451;581045.6359649122;3408;18;228;228;1.21 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_vis_START;296;690584;452104.0506756757;2870;15;296;296;1.25 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_sub_START;185;690305;372166.43783783785;368;2;185;185;1.19 (+- 0.60);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_try_START;173;690223;386021.38150289014;344;2;173;173;1.26 (+- 0.59);1.5;1.5;2
