sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
3;assignment_sub_START>forum_vis_START>assignment_sub_END;201;690159;589615.4776119404;201;1;201;201;1.28 (+- 0.51);1.5;1.5;2
3;assignment_sub_START>assignment_vis_END>assignment_sub_END;300;690237;598464.35;949;4;300;300;1.23 (+- 0.52);1.5;1.5;2
3;assignment_sub_START>assignment_vis_END>resource_vis_END;227;690237;599033.7092511014;812;4;227;227;1.22 (+- 0.51);1.5;1.5;2
3;assignment_sub_START>forum_vis_END>assignment_sub_END;229;690227;596888.1397379913;420;2;229;229;1.27 (+- 0.53);1.5;1.5;2
3;assignment_sub_START>resource_vis_END>assignment_sub_END;384;690249;594268.46875;1871;8;384;384;1.22 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_sub_END;436;690540;572766.9426605505;1126;4;436;436;1.25 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_sub_END>assignment_sub_END;628;690554;574396.7531847134;2579;10;628;628;1.27 (+- 0.50);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_vis_START;273;690305;516819.49816849816;874;4;273;273;1.22 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_sub_START;387;690305;351609.15245478036;966;4;387;387;1.09 (+- 0.62);1.0;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_sub_END;327;690305;579719.1039755351;1304;6;327;327;1.20 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>resource_vis_END;189;690230;577076.8359788359;378;2;189;189;1.19 (+- 0.54);1.0;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_vis_START;200;690305;503637.405;368;2;200;200;1.25 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_sub_END;262;690540;572654.0648854962;430;2;262;262;1.27 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>forum_vis_START;180;690223;471690.2888888889;180;1;180;180;1.23 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_sub_END;317;690305;581874.8012618297;1445;7;317;317;1.26 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>resource_vis_END;173;690230;585982.9190751445;346;2;173;173;1.26 (+- 0.50);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_vis_START;231;690305;542011.1082251082;804;4;231;231;1.28 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_sub_END;247;690305;592610.9230769231;842;4;247;247;1.25 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>forum_vis_END;177;690319;579305.3163841808;354;2;177;177;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_sub_END;343;690319;576051.5043731779;1360;6;343;343;1.23 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>resource_vis_END;255;690319;577459.8196078432;868;4;255;255;1.22 (+- 0.50);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_sub_END;266;690540;573794.9586466165;634;3;266;266;1.28 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_sub_END;442;690540;570936.5972850679;2362;10;442;442;1.22 (+- 0.51);1.5;1.5;2
3;assignment_try_END>assignment_sub_END>assignment_sub_END;265;690319;498226.1245283019;633;3;265;265;1.27 (+- 0.52);1.5;1.0;2
3;assignment_try_END>resource_vis_END>assignment_sub_END;195;688922;484371.8512820513;195;1;195;195;1.23 (+- 0.55);1.5;1.5;2
3;assignment_sub_END>assignment_try_END>assignment_sub_END;224;690458;467657.70089285716;224;1;224;224;1.35 (+- 0.49);1.5;1.5;2
3;assignment_sub_END>assignment_vis_END>assignment_sub_END;164;690140;465029.7256097561;164;1;164;164;1.23 (+- 0.48);1.5;1.5;2
3;assignment_try_START>resource_vis_START>assignment_sub_START;211;689290;382621.5924170616;211;1;211;211;1.17 (+- 0.60);1.0;1.5;2
3;assignment_try_START>resource_vis_START>assignment_sub_END;183;690451;576383.174863388;183;1;183;183;1.27 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_try_END;165;690230;596444.4181818182;330;2;165;165;1.27 (+- 0.51);1.5;1.0;2
3;assignment_try_START>assignment_sub_START>assignment_sub_END;313;690230;588929.5814696485;736;3;313;313;1.25 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_vis_START;281;690230;550498.6441281139;539;2;281;281;1.24 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_try_END>assignment_sub_END;195;690451;590797.9487179487;360;2;195;195;1.28 (+- 0.50);1.5;1.0;2
3;assignment_try_START>assignment_sub_END>assignment_sub_END;260;690511;590490.0230769231;455;2;260;260;1.30 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_sub_END;344;690451;584817.0813953489;797;3;344;344;1.25 (+- 0.53);1.5;1.5;2
3;assignment_try_START>resource_vis_END>assignment_sub_END;210;690451;579335.0285714286;210;1;210;210;1.24 (+- 0.53);1.5;1.5;2
3;resource_vis_START>assignment_sub_START>assignment_vis_START;333;690305;553129.0450450451;1370;6;333;333;1.25 (+- 0.53);1.5;1.5;2
3;resource_vis_START>assignment_sub_START>assignment_sub_END;374;690305;591099.9411764706;1660;7;374;374;1.25 (+- 0.54);1.5;1.5;2
3;resource_vis_START>assignment_sub_START>resource_vis_END;223;690249;595463.2242152466;810;4;223;223;1.24 (+- 0.53);1.5;1.5;2
3;resource_vis_START>forum_vis_START>assignment_sub_END;164;690526;578243.5487804879;164;1;164;164;1.26 (+- 0.51);1.5;1.5;2
3;resource_vis_START>assignment_vis_START>assignment_sub_END;389;690526;582248.1388174808;1886;8;389;389;1.24 (+- 0.53);1.5;1.5;2
3;resource_vis_START>assignment_vis_START>resource_vis_END;225;690470;587856.5955555555;814;4;225;225;1.23 (+- 0.51);1.5;1.5;2
3;resource_vis_START>assignment_vis_START>assignment_try_END;165;690470;587352.6060606061;330;2;165;165;1.25 (+- 0.53);1.0;1.0;2
