sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
4;assignment_try>assignment_vis>forum_vis>assignment_sub;183;690424;519604.7978142077;183;1;183;183;1.27 (+- 0.53);1.5;1.5;2
4;assignment_try>assignment_vis>assignment_sub>assignment_sub;189;690422;540947.7724867725;189;1;189;189;1.26 (+- 0.48);1.5;1.5;2
4;assignment_try>assignment_vis>resource_vis>assignment_sub;304;690451;499871.56907894736;477;2;304;304;1.20 (+- 0.55);1.5;1.5;2
4;resource_vis>assignment_sub>assignment_sub>assignment_sub;234;690249;582093.2393162394;234;1;234;234;1.29 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_sub>forum_vis>assignment_sub;185;690203;529213.2864864864;185;1;185;185;1.29 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_sub>assignment_vis>resource_vis;269;690230;545488.7918215613;882;4;269;269;1.21 (+- 0.51);1.5;1.5;2
4;resource_vis>assignment_sub>assignment_vis>assignment_sub;321;690230;537280.5638629283;976;4;321;321;1.21 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_sub>resource_vis>assignment_sub;324;690249;540737.5925925926;967;4;324;324;1.23 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_sub>assignment_try>assignment_sub;292;690470;505946.2773972603;501;2;292;292;1.31 (+- 0.52);1.5;1.5;2
4;resource_vis>forum_vis>assignment_vis>assignment_sub;167;690358;506159.41916167666;167;1;167;167;1.24 (+- 0.53);1.5;1.5;2
4;resource_vis>forum_vis>resource_vis>assignment_sub;185;690540;501137.27567567566;185;1;185;185;1.25 (+- 0.54);1.5;1.5;2
4;resource_vis>forum_vis>assignment_sub>assignment_sub;195;690540;518381.3384615385;195;1;195;195;1.32 (+- 0.53);1.5;1.5;2
4;resource_vis>forum_vis>forum_vis>assignment_sub;210;690358;479053.68095238094;210;1;210;210;1.25 (+- 0.56);1.5;1.5;2
4;resource_vis>assignment_vis>resource_vis>assignment_sub;372;690451;501295.5967741936;1269;5;372;372;1.20 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_sub>assignment_sub;246;690358;533703.0243902439;443;2;246;246;1.24 (+- 0.52);1.5;1.5;2
4;resource_vis>assignment_vis>forum_vis>assignment_sub;230;690424;508126.44782608695;408;2;230;230;1.26 (+- 0.53);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_vis>assignment_sub;178;690137;541445.2078651686;178;1;178;178;1.21 (+- 0.57);1.5;1.5;2
4;resource_vis>assignment_vis>assignment_try>assignment_sub;170;690221;534240.0588235294;170;1;170;170;1.24 (+- 0.54);1.5;1.5;2
4;resource_vis>resource_vis>assignment_sub>assignment_sub;246;690540;530785.0487804879;606;3;246;246;1.23 (+- 0.52);1.0;1.0;2
4;resource_vis>assignment_try>assignment_sub>assignment_sub;235;690319;517908.9489361702;405;2;235;235;1.28 (+- 0.54);1.5;1.5;2
4;resource_vis>assignment_try>resource_vis>assignment_sub;221;690319;512392.04977375566;386;2;221;221;1.24 (+- 0.57);1.5;1.5;2
4;assignment_vis>resource_vis>forum_vis>assignment_sub;273;690540;487981.68498168496;451;2;273;273;1.25 (+- 0.54);1.5;1.5;2
