sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
3;assignment_vis>forum_vis>resource_vis;437;690661;502249.1372997712;14866;437;437;1.366132723112128;0.5624299432460629;1.5;1.5;2
3;assignment_vis>forum_vis>assignment_try;275;690567;520552.5272727273;2046;275;275;1.3545454545454545;0.5640760748177662;1.5;1.5;2
3;assignment_vis>forum_participation>forum_vis;256;690590;497503.51171875;8210;256;256;1.345703125;0.5536165355030077;1.5;1.5;2
3;assignment_vis>forum_participation>assignment_sub;277;690590;494305.31768953067;6917;277;277;1.3465703971119134;0.5491404412287968;1.5;1.5;2
3;assignment_try>assignment_vis>assignment_sub;666;690567;499120.83633633633;10103;666;666;1.3573573573573574;0.5592004885453847;1.5;1.5;2
3;assignment_try>assignment_vis>assignment_vis;489;690567;530732.9447852761;7218;489;489;1.3640081799591002;0.5520204022707087;1.5;1.5;2
3;assignment_try>assignment_vis>resource_vis;348;690524;523702.2471264368;3966;348;348;1.3994252873563218;0.5245552117694016;1.5;1.5;2
3;assignment_try>assignment_vis>forum_vis;227;690567;530392.6343612334;454;227;227;1.3392070484581498;0.5500645869910222;1.5;1.5;2
3;assignment_try>assignment_vis>assignment_try;218;690567;552504.5366972478;436;218;218;1.3830275229357798;0.5270000386277515;1.5;1.5;2
3;assignment_try>assignment_sub>assignment_vis;387;690561;538267.7519379845;2638;387;387;1.3992248062015504;0.5400291861280322;1.5;1.5;2
3;assignment_try>assignment_sub>assignment_sub;413;690669;535041.5593220339;2719;413;413;1.3898305084745763;0.5390959893803727;1.5;1.5;2
3;assignment_try>assignment_sub>resource_vis;223;690560;564170.0717488789;858;223;223;1.4618834080717489;0.4765964588027147;1.5;1.5;2
3;assignment_try>assignment_sub>assignment_try;193;689494;558476.5595854922;386;193;193;1.4093264248704662;0.49824281038482904;1.5;1.5;2
3;assignment_try>resource_vis>assignment_sub;600;690567;450192.1016666667;7215;600;600;1.3516666666666666;0.5804240193967769;1.5;1.5;2
3;assignment_try>resource_vis>assignment_vis;356;690561;501761.46910112357;3514;356;356;1.3426966292134832;0.5417525323415341;1.5;1.5;2
3;assignment_try>resource_vis>resource_vis;313;690518;488238.9840255591;2502;313;313;1.3562300319488818;0.5605353194506137;1.5;1.5;2
3;assignment_try>resource_vis>forum_vis;180;690567;520997.1777777778;360;180;180;1.3277777777777777;0.5675641922748264;1.5;1.5;2
3;assignment_try>forum_vis>assignment_sub;302;690567;497427.1059602649;1332;302;302;1.3427152317880795;0.5551898705774508;1.5;1.5;2
3;assignment_try>forum_vis>forum_vis;222;690567;501618.4954954955;444;222;222;1.3333333333333333;0.5661385170722979;1.5;1.5;2
3;assignment_try>forum_vis>assignment_vis;216;690567;531380.8657407408;432;216;216;1.3148148148148149;0.5606996982284312;1.5;1.5;2
3;assignment_try>assignment_try>assignment_sub;263;690567;536884.0608365019;674;263;263;1.3726235741444868;0.5385267212668973;1.5;1.5;2
3;resource_vis>assignment_try>resource_vis;333;690441;513268.87387387385;2206;333;333;1.4204204204204205;0.5519438299220124;1.5;1.5;2
3;resource_vis>assignment_try>assignment_sub;592;690442;481702.71452702704;7834;592;592;1.3682432432432432;0.5762105229776183;1.5;1.5;2
3;resource_vis>assignment_try>assignment_vis;361;690442;531347.7202216067;3168;361;361;1.386426592797784;0.558628007574284;1.5;1.5;2
3;resource_vis>resource_vis>assignment_sub;974;690823;465188.69917864475;39342;974;974;1.3305954825462012;0.5841766323117336;1.5;1.5;2
3;resource_vis>resource_vis>assignment_vis;601;690823;512357.85357737105;23192;601;601;1.3227953410981697;0.5632904872664948;1.5;1.5;2
3;resource_vis>resource_vis>resource_vis;582;690823;481159.25429553265;20488;582;582;1.3178694158075601;0.6036238214800489;1.5;1.5;2
3;resource_vis>resource_vis>forum_vis;399;690590;504455.0501253133;12822;399;399;1.3270676691729324;0.5782221695152525;1.5;1.5;2
3;resource_vis>resource_vis>assignment_try;336;690441;522407.8660714286;2332;336;336;1.3705357142857142;0.5561549863751435;1.5;1.5;2
3;resource_vis>assignment_sub>assignment_vis;726;690680;538753.2768595042;14626;726;726;1.3918732782369145;0.5340309332918354;1.5;1.5;2
3;resource_vis>assignment_sub>assignment_sub;777;690680;533375.0038610039;11785;777;777;1.3925353925353925;0.5285370605034723;1.5;1.5;2
3;resource_vis>assignment_sub>assignment_try;311;690074;556932.9356913184;1600;311;311;1.4131832797427653;0.5100788950774204;1.5;1.5;2
3;resource_vis>assignment_sub>resource_vis;484;690680;569482.5929752066;6770;484;484;1.4183884297520661;0.5287321116703627;1.5;1.5;2
3;resource_vis>assignment_sub>forum_vis;291;690561;568945.6323024055;3516;291;291;1.3780068728522337;0.547468292220731;1.5;2.0;2
3;resource_vis>assignment_vis>assignment_sub;1104;690823;475352.6376811594;47339;1104;1104;1.3428442028985508;0.5724749193419044;1.5;1.5;2
3;resource_vis>assignment_vis>assignment_vis;800;690728;527445.1425;40384;800;800;1.369375;0.5504574130479799;1.5;1.5;2
3;resource_vis>assignment_vis>assignment_try;400;690074;518815.94;4804;400;400;1.39625;0.5413812627707002;1.5;1.5;2
3;resource_vis>assignment_vis>resource_vis;656;690823;516549.63719512196;23532;656;656;1.3841463414634145;0.5465996510714951;1.5;1.5;2
3;resource_vis>assignment_vis>forum_vis;421;690561;516667.01425178145;14994;421;421;1.352731591448931;0.5656209370700355;1.5;1.5;2
3;resource_vis>forum_vis>forum_vis;456;690704;483273.0197368421;29336;456;456;1.3607456140350878;0.5584660043392964;1.5;1.5;2
3;resource_vis>forum_vis>assignment_sub;602;690704;482493.78405315615;30293;602;602;1.3289036544850499;0.5788523219862031;1.5;1.5;2
